wave,flux,error,f
4122,3748,212.42,7
4123,3753.1,212.81,7
4124,3751.3,212.81,7
4125,3749.5,212.81,7
4126,3747.7,212.81,7
4127,3739,212.42,7
4128,3737.2,212.42,7
4129,3735.4,212.42,7
4130,3730.1,212.23,7
4131,3728.3,212.23,7
4132,3726.5,212.23,7
4133,3717.8,211.84,7
4134,3716,211.84,7
4135,3707.4,211.45,7
4136,3705.6,211.45,7
4137,3697,211.06,7
4138,3691.8,210.86,7
4139,3690,210.86,7
4140,3688.2,210.86,7
4141,3686.5,210.86,7
4142,3677.9,210.47,7
4143,3676.1,210.47,7
4144,3667.6,210.09,7
4145,3665.8,210.09,7
4146,3660.7,209.89,7
4147,3658.9,209.89,7
4148,3650.4,209.51,7
4149,3648.7,209.51,7
4150,3640.2,209.12,7
4151,3638.4,209.12,7
4152,3630,208.74,7
4153,3628.2,208.74,7
4154,3626.5,208.74,7
4155,3621.4,208.55,7
4156,3619.7,208.55,7
4157,3611.3,208.16,7
4158,3609.5,208.16,7
4159,3601.2,207.78,7
4160,3599.4,207.78,7
4161,3597.7,207.78,7
4162,3596,207.78,7
4163,3587.6,207.4,7
4164,3585.9,207.4,7
4165,3590.8,207.78,7
4166,3589.1,207.78,7
4167,3587.3,207.78,7
4168,3585.6,207.78,7
4169,3583.9,207.78,7
4170,3575.6,207.4,7
4171,3570.6,207.21,7
4172,3568.9,207.21,7
4173,3567.2,207.21,7
4174,3565.5,207.21,7
4175,3563.8,207.21,7
4176,3565.3,207.4,7
4177,3560.4,207.21,7
4178,3558.6,207.21,7
4179,3556.9,207.21,7
4180,3555.2,207.21,7
4181,3553.5,207.21,7
4182,3551.8,207.21,7
4183,3543.6,206.82,7
4184,3541.9,206.82,7
4185,3540.2,206.82,7
4186,3532,206.44,7
4187,3530.3,206.44,7
4188,3522.1,206.06,7
4189,3517.2,205.87,7
4190,3515.5,205.87,7
4191,3507.4,205.49,7
4192,3505.7,205.49,7
4193,3504,205.49,7
4194,3495.9,205.12,7
4195,3494.3,205.12,7
4196,3492.6,205.12,7
4197,3490.9,205.12,7
4198,3489.3,205.12,7
4199,3487.6,205.12,7
4200,3486,205.12,7
4201,3484.3,205.12,7
4202,3476.2,204.74,7
4203,3474.6,204.74,7
4204,3469.7,204.55,7
4205,3468.1,204.55,7
4206,3466.4,204.55,7
4207,3458.4,204.17,7
4208,3456.8,204.17,7
4209,3448.7,203.8,7
4210,3447.1,203.8,7
4211,3445.5,203.8,7
4212,3450.2,204.17,7
4213,3448.6,204.17,7
4214,3446.9,204.17,7
